id_key	nmea_telegram	update_utcdate
523	$PSCMSM2,135702.00,V,DST,1,,58.44,15*22	2018-04-20 14:00:08.327
524	$PSCMSM2,135702.00,V,TSP,1,Y,1.01,0*66	2018-04-20 14:00:08.410
525	$PSCMSM2,135702.00,V,DST,7,,18.31,15*22	2018-04-20 14:00:08.580
526	$PSCMVTG,116.00,T,120.00,M,5.10,N,9.44,K,A*31	2018-04-20 14:00:09.027
527	$PSCMZDA,135703.00,20,04,2018,00,00*72	2018-04-20 14:00:09.110
528	$PSCMDBS,301.02,f,91.75,M,50.17,F*22	2018-04-20 14:00:09.187
529	$PSCMSM2,135703.00,V,DST,1,,58.75,15*21	2018-04-20 14:00:09.277
530	$PSCMSM2,135703.00,A,TSP,1,Y,1.01,0*70	2018-04-20 14:00:09.357
531	$PSCMZDA,135704.00,20,04,2018,00,00*75	2018-04-20 14:00:10.053
532	$PSCMDBS,299.58,f,91.31,M,49.93,F*29	2018-04-20 14:00:10.133
533	$PSCMSM2,135704.00,V,TSP,1,Y,1.01,0*60	2018-04-20 14:00:10.303
534	$PSCMSM2,135704.00,V,TS,2,O,23.88,15*20	2018-04-20 14:00:10.727
535	$PSCMSM2,135704.00,V,TS,2,H,23.88,15*27	2018-04-20 14:00:10.810
536	$PSCMVTG,123.00,T,127.00,M,5.00,N,9.26,K,A*35	2018-04-20 14:00:11.010
537	$PSCMZDA,135705.00,20,04,2018,00,00*74	2018-04-20 14:00:11.093
538	$PSCMSM2,135705.00,V,DST,1,,59.13,15*26	2018-04-20 14:00:11.257
539	$PSCMSM2,135705.00,V,TSP,1,Y,1.01,0*61	2018-04-20 14:00:11.340
540	$PSCMSM2,135705.00,V,TS,2,O,23.63,15*24	2018-04-20 14:00:11.760
541	$PSCMSM2,135705.00,V,TS,2,H,23.63,15*23	2018-04-20 14:00:11.847
542	$PSCMVTG,130.00,T,134.00,M,4.80,N,8.89,K,A*38	2018-04-20 14:00:12.047
543	$PSCMZDA,135706.00,20,04,2018,00,00*77	2018-04-20 14:00:12.130
544	$PSCMSM2,135706.00,V,TSP,1,Y,1.01,0*62	2018-04-20 14:00:12.377
545	$PSCMSM2,135706.00,V,DST,7,,18.88,15*24	2018-04-20 14:00:12.550
546	$PSCMSM2,135706.00,V,TS,2,O,23.38,15*29	2018-04-20 14:00:12.800
547	$PSCMGLL,5306.66,N,00954.62,W,140008.00,A,A*60	2018-04-20 14:00:12.987
548	$PSCMVTG,130.00,T,134.00,M,4.50,N,8.33,K,A*34	2018-04-20 14:00:13.083
549	$PSCMZDA,135707.00,20,04,2018,00,00*76	2018-04-20 14:00:13.167
550	$PSCMSM2,135707.00,V,DST,1,,59.50,15*23	2018-04-20 14:00:13.330
551	$PSCMSM2,135707.00,A,TSP,1,Y,1.01,0*74	2018-04-20 14:00:13.413
552	$PSCMSM2,135707.00,V,DST,7,,19.13,15*26	2018-04-20 14:00:13.583
553	$PSCMSM2,135707.00,A,TEY,1,H,,15*50	2018-04-20 14:00:14.000
554	$PSCMGLL,5306.66,N,00954.62,W,140009.00,A,A*61	2018-04-20 14:00:14.100
555	$PSCMVTG,127.00,T,131.00,M,4.30,N,7.96,K,A*31	2018-04-20 14:00:14.197
556	$PSCMZDA,135708.00,20,04,2018,00,00*79	2018-04-20 14:00:14.280
557	$PSCMSM2,135708.00,V,TSP,1,X,-0.11,0*40	2018-04-20 14:00:14.613
558	$PSCMSM2,135708.00,V,DST,7,,19.19,15*23	2018-04-20 14:00:14.700
559	$PSCMSM2,135708.00,V,TS,2,C,0.00,15*11	2018-04-20 14:00:14.783
560	$PSCMSM2,135708.00,V,TS,2,F,7.00,15*13	2018-04-20 14:00:14.867
561	$PSCMSM2,135708.00,V,TS,2,O,22.94,15*20	2018-04-20 14:00:14.953
562	$PSCMSM2,135708.00,V,TS,2,H,22.94,15*27	2018-04-20 14:00:15.037
563	$PSCMSM2,135708.00,V,TEY,1,H,,15*48	2018-04-20 14:00:15.117
564	$PSCMZDA,135709.00,20,04,2018,00,00*78	2018-04-20 14:00:15.397
565	$PSCMSM2,135709.00,A,TSP,1,Y,0.93,1*71	2018-04-20 14:00:15.643
566	$PSCMSM2,135709.00,V,TSP,1,X,-0.11,1*40	2018-04-20 14:00:15.730
567	$PSCMSM2,135709.00,A,DST,7,,19.38,15*36	2018-04-20 14:00:15.813
568	$PSCMSM2,135709.00,A,TS,2,F,7.00,1*30	2018-04-20 14:00:15.897
569	$PSCMSM2,135709.00,V,TS,2,C,0.00,1*25	2018-04-20 14:00:16.060
570	$PSCMSM2,135709.00,V,TEY,1,H,,15*49	2018-04-20 14:00:16.220
571	$PSCMVTG,123.00,T,127.00,M,4.20,N,7.78,K,A*33	2018-04-20 14:00:16.420
572	$PSCMZDA,135710.00,20,04,2018,00,00*70	2018-04-20 14:00:16.500
573	$PSCMSM2,135710.00,V,DST,1,,59.81,15*29	2018-04-20 14:00:16.667
574	$PSCMSM2,135710.00,V,TSP,1,X,-0.11,1*48	2018-04-20 14:00:16.833
575	$PSCMSM2,135710.00,V,DST,7,,19.50,15*27	2018-04-20 14:00:16.920
576	$PSCMSM2,135710.00,A,TS,2,O,21.94,11*39	2018-04-20 14:00:17.007
577	$PSCMSM2,135710.00,V,TS,2,H,21.94,11*29	2018-04-20 14:00:17.257
578	$PSCMSM2,135710.00,A,TEY,1,H,,15*56	2018-04-20 14:00:17.333
579	$PSCMGLL,5306.66,N,00954.61,W,140012.00,A,A*68	2018-04-20 14:00:17.433
580	$PSCMVTG,123.00,T,127.00,M,4.20,N,7.78,K,A*33	2018-04-20 14:00:17.533
581	$PSCMZDA,135711.00,20,04,2018,00,00*71	2018-04-20 14:00:17.617
582	$PSCMSM2,135711.00,V,DST,1,,59.88,15*21	2018-04-20 14:00:17.780
583	$PSCMSM2,135711.00,V,TSP,1,Y,0.85,1*68	2018-04-20 14:00:17.863
584	$PSCMSM2,135711.00,V,TSP,1,X,-0.11,1*49	2018-04-20 14:00:17.950
585	$PSCMSM2,135711.00,A,DST,7,,19.63,15*31	2018-04-20 14:00:18.037
586	$PSCMSM2,135711.00,V,TEY,1,H,,15*40	2018-04-20 14:00:18.450
587	$PSCMGLL,5306.66,N,00954.61,W,140013.00,A,A*69	2018-04-20 14:00:18.550
588	$PSCMVTG,124.00,T,127.00,M,4.20,N,7.78,K,A*34	2018-04-20 14:00:18.650
589	$PSCMZDA,135712.00,20,04,2018,00,00*72	2018-04-20 14:00:18.730
590	$PSCMDBS,299.58,f,91.31,M,49.93,F*29	2018-04-20 14:00:18.810
591	$PSCMSM2,135712.00,A,DST,1,,59.94,15*38	2018-04-20 14:00:18.897
592	$PSCMSM2,135712.00,A,TSP,1,Y,0.81,0*79	2018-04-20 14:00:18.980
593	$PSCMSM2,135712.00,V,DST,7,,19.75,15*22	2018-04-20 14:00:19.150
594	$PSCMSM2,135712.00,V,TS,2,F,7.00,15*18	2018-04-20 14:00:19.317
595	$PSCMSM2,135712.00,V,TS,2,O,21.06,15*23	2018-04-20 14:00:19.403
596	$PSCMSM2,135712.00,V,TS,2,H,21.06,15*24	2018-04-20 14:00:19.487
597	$PSCMSM2,135712.00,A,TEY,1,H,,15*54	2018-04-20 14:00:19.567
598	$PSCMVTG,122.00,T,126.00,M,4.30,N,7.96,K,A*32	2018-04-20 14:00:19.763
599	$PSCMZDA,135713.00,20,04,2018,00,00*73	2018-04-20 14:00:19.847
600	$PSCMDBS,303.89,f,92.63,M,50.65,F*22	2018-04-20 14:00:19.923
601	$PSCMSM2,135713.00,V,TSP,1,Y,0.79,0*68	2018-04-20 14:00:20.093
602	$PSCMSM2,135713.00,V,DST,7,,19.81,15*28	2018-04-20 14:00:20.263
603	$PSCMSM2,135713.00,V,TS,2,F,7.00,15*19	2018-04-20 14:00:20.430
604	$PSCMSM2,135713.00,A,TEY,1,H,,15*55	2018-04-20 14:00:20.680
605	$PSCMZDA,135715.00,20,04,2018,00,00*75	2018-04-20 14:00:20.960
606	$PSCMDBS,303.89,f,92.63,M,50.65,F*22	2018-04-20 14:00:21.040
607	$PSCMSM2,135715.00,V,DST,1,,60.19,15*27	2018-04-20 14:00:21.123
608	$PSCMSM2,135715.00,V,TSP,1,Y,0.77,0*60	2018-04-20 14:00:21.210
609	$PSCMSM2,135715.00,V,TS,2,O,20.63,15*26	2018-04-20 14:00:21.630
610	$PSCMSM2,135715.00,V,TS,2,H,20.63,15*21	2018-04-20 14:00:21.717
611	$PSCMSM2,135715.00,A,TEY,1,H,,15*53	2018-04-20 14:00:21.793
612	$PSCMZDA,135716.00,20,04,2018,00,00*76	2018-04-20 14:00:22.083
613	$PSCMDBS,301.02,f,91.75,M,50.17,F*22	2018-04-20 14:00:22.163
614	$PSCMSM2,135716.00,V,TSP,1,Y,0.75,0*61	2018-04-20 14:00:22.330
615	$PSCMSM2,135716.00,V,DST,7,,20.06,15*28	2018-04-20 14:00:22.503
616	$PSCMSM2,135716.00,A,TEY,1,H,,15*50	2018-04-20 14:00:22.917
617	$PSCMGLL,5306.65,N,00954.60,W,140018.00,A,A*60	2018-04-20 14:00:23.017
618	$PSCMZDA,135717.00,20,04,2018,00,00*77	2018-04-20 14:00:23.197
619	$PSCMSM2,135717.00,A,DST,1,,60.56,15*39	2018-04-20 14:00:23.360
620	$PSCMSM2,135717.00,A,TSP,1,X,-0.10,1*59	2018-04-20 14:00:23.447
621	$PSCMSM2,135717.00,V,TSP,1,Y,0.73,1*67	2018-04-20 14:00:23.530
622	$PSCMSM2,135717.00,V,DST,7,,20.19,15*27	2018-04-20 14:00:23.617
623	$PSCMSM2,135717.00,V,TS,2,O,20.06,1*12	2018-04-20 14:00:23.780
624	$PSCMSM2,135717.00,V,TS,2,H,20.06,1*15	2018-04-20 14:00:23.947
